,Source Zipcode,NAICS Code Description,Counts
196,94109,Information,83
197,94109,Insurance,17
198,94109,Manufacturing,29
199,94109,Multiple,162
200,94109,Private Education and Health Services,377
201,94109,"Professional, Scientific, and Technical Services",796
202,94109,Real Estate and Rental and Leasing Services,1973
203,94109,Retail Trade,583
204,94109,Transportation and Warehousing,107
205,94109,Utilities,1
206,94109,Wholesale Trade,95
207,94110,Accommodations,749
208,94110,Administrative and Support Services,130
209,94110,"Arts, Entertainment, and Recreation",706
210,94110,Certain Services,234
211,94110,Construction,417
212,94110,Financial Services,117
213,94110,Food Services,870
214,94110,Information,144
215,94110,Insurance,20
216,94110,Manufacturing,127
217,94110,Multiple,278
218,94110,Private Education and Health Services,413
219,94110,"Professional, Scientific, and Technical Services",1074
220,94110,Real Estate and Rental and Leasing Services,1341
221,94110,Retail Trade,853
222,94110,Transportation and Warehousing,116
223,94110,Utilities,6
224,94110,Wholesale Trade,126
225,94111,Accommodations,44
226,94111,Administrative and Support Services,179
227,94111,"Arts, Entertainment, and Recreation",73
228,94111,Certain Services,112
229,94111,Construction,82
230,94111,Financial Services,668
231,94111,Food Services,257
232,94111,Information,193
233,94111,Insurance,82
234,94111,Manufacturing,36
235,94111,Multiple,60
236,94111,Private Education and Health Services,141
237,94111,"Professional, Scientific, and Technical Services",1267
238,94111,Real Estate and Rental and Leasing Services,625
239,94111,Retail Trade,199
240,94111,Transportation and Warehousing,21
241,94111,Utilities,3
242,94111,Wholesale Trade,113
243,94112,Accommodations,223
244,94112,Administrative and Support Services,77
245,94112,"Arts, Entertainment, and Recreation",177
246,94112,Certain Services,154
247,94112,Construction,582
248,94112,Financial Services,43
249,94112,Food Services,281
250,94112,Information,36
251,94112,Insurance,28
252,94112,Manufacturing,40
253,94112,Multiple,132
254,94112,Private Education and Health Services,135
255,94112,"Professional, Scientific, and Technical Services",298
256,94112,Real Estate and Rental and Leasing Services,375
257,94112,Retail Trade,384
258,94112,Transportation and Warehousing,209
259,94112,Utilities,8
260,94112,Wholesale Trade,88
261,94113,Administrative and Support Services,1
262,94113,Financial Services,1
263,94113,Multiple,1
264,94113,Private Education and Health Services,1
265,94113,Real Estate and Rental and Leasing Services,1
266,94113,Retail Trade,2
267,94113,Transportation and Warehousing,1
268,94114,Accommodations,435
269,94114,Administrative and Support Services,64
270,94114,"Arts, Entertainment, and Recreation",287
271,94114,Certain Services,107
272,94114,Construction,139
273,94114,Financial Services,74
274,94114,Food Services,312
275,94114,Information,94
276,94114,Insurance,11
277,94114,Manufacturing,19
278,94114,Multiple,132
279,94114,Private Education and Health Services,367
280,94114,"Professional, Scientific, and Technical Services",757
281,94114,Real Estate and Rental and Leasing Services,1017
282,94114,Retail Trade,396
283,94114,Transportation and Warehousing,19
284,94114,Utilities,1
285,94114,Wholesale Trade,44
286,94115,Accommodations,198
287,94115,Administrative and Support Services,52
288,94115,"Arts, Entertainment, and Recreation",157
289,94115,Certain Services,121
290,94115,Construction,103
291,94115,Financial Services,51
292,94115,Food Services,294
293,94115,Information,39
294,94115,Insurance,5
295,94115,Manufacturing,14
296,94115,Multiple,129
297,94115,Private Education and Health Services,557
298,94115,"Professional, Scientific, and Technical Services",673
299,94115,Real Estate and Rental and Leasing Services,1065
300,94115,Retail Trade,376
301,94115,Transportation and Warehousing,53
302,94115,Utilities,1
303,94115,Wholesale Trade,55
304,94116,Accommodations,142
305,94116,Administrative and Support Services,33
306,94116,"Arts, Entertainment, and Recreation",167
